Group,Condition_name,ICD10_Code,Sex,Age_group,Fraction
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Male,16-24 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Male,25-34 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Male,35-44 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Male,45-54 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Male,55-64 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Male,65-74 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Male,75-84 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Male,85 and over,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Female,16-24 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Female,25-34 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Female,35-44 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Female,45-54 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Female,55-64 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Female,65-74 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Female,75-84 years,1
Wholly attributable,Alcohol-induced pseudo-Cushing’s syndrome,E244,Female,85 and over,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Male,16-24 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Male,25-34 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Male,35-44 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Male,45-54 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Male,55-64 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Male,65-74 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Male,75-84 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Male,85 and over,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Female,16-24 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Female,25-34 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Female,35-44 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Female,45-54 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Female,55-64 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Female,65-74 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Female,75-84 years,1
Wholly attributable,Mental and behavioural disorders due to use of alcohol,F10,Female,85 and over,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Male,16-24 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Male,25-34 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Male,35-44 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Male,45-54 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Male,55-64 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Male,65-74 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Male,75-84 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Male,85 and over,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Female,16-24 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Female,25-34 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Female,35-44 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Female,45-54 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Female,55-64 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Female,65-74 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Female,75-84 years,1
Wholly attributable,Degeneration of nervous system due to alcohol,G312,Female,85 and over,1
Wholly attributable,Alcoholic polyneuropathy,G621,Male,16-24 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Male,25-34 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Male,35-44 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Male,45-54 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Male,55-64 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Male,65-74 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Male,75-84 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Male,85 and over,1
Wholly attributable,Alcoholic polyneuropathy,G621,Female,16-24 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Female,25-34 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Female,35-44 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Female,45-54 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Female,55-64 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Female,65-74 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Female,75-84 years,1
Wholly attributable,Alcoholic polyneuropathy,G621,Female,85 and over,1
Wholly attributable,Alcoholic myopathy,G721,Male,16-24 years,1
Wholly attributable,Alcoholic myopathy,G721,Male,25-34 years,1
Wholly attributable,Alcoholic myopathy,G721,Male,35-44 years,1
Wholly attributable,Alcoholic myopathy,G721,Male,45-54 years,1
Wholly attributable,Alcoholic myopathy,G721,Male,55-64 years,1
Wholly attributable,Alcoholic myopathy,G721,Male,65-74 years,1
Wholly attributable,Alcoholic myopathy,G721,Male,75-84 years,1
Wholly attributable,Alcoholic myopathy,G721,Male,85 and over,1
Wholly attributable,Alcoholic myopathy,G721,Female,16-24 years,1
Wholly attributable,Alcoholic myopathy,G721,Female,25-34 years,1
