"EXTRACT_DATE","ODS_Code","Sex","Age_group","Patients","Proportion","PCN_Code","PCN_Name"
"1st Apr 2022","G81001","Female","0-4 years",195,0.0214309264754369,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","10-14 years",304,0.0334102648642708,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","15-19 years",277,0.0304429058138257,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","20-24 years",237,0.0260468183316848,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","25-29 years",220,0.0241784811517749,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","30-34 years",287,0.0315419276843609,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","35-39 years",296,0.0325310473678426,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","40-44 years",313,0.0343993845477525,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","45-49 years",317,0.0348389932959666,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","50-54 years",331,0.0363776239147159,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","55-59 years",316,0.0347290911089131,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","5-9 years",242,0.0265963292669524,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","60-64 years",246,0.0270359380151665,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","65-69 years",226,0.0248378942740961,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","70-74 years",228,0.0250576986482031,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","75-79 years",175,0.0192328827343664,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","80-84 years",151,0.0165952302450819,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","85-89 years",122,0.0134080668205297,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","90-94 years",71,0.00780305528080009,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Female","95+ years",13,0.00142872843169579,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Male","0-4 years",243,0.0267062314540059,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Male","10-14 years",291,0.031981536432575,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Male","15-19 years",290,0.0318716342455215,"U14062","West Hove PCN"
"1st Apr 2022","G81001","Male","20-24 years",247,0.02714584020222,"U14062","West Hove PCN"
