Chapter_number,Chapter_description,Short_code_three,Cause_description
1,Certain infectious and parasitic diseases,A00,Cholera
1,Certain infectious and parasitic diseases,A01,Typhoid and paratyphoid fevers
1,Certain infectious and parasitic diseases,A02,Other salmonella infections
1,Certain infectious and parasitic diseases,A03,Shigellosis
1,Certain infectious and parasitic diseases,A04,Other bacterial intestinal infections
1,Certain infectious and parasitic diseases,A05,"Other bacterial foodborne intoxications, not elsewhere classified"
1,Certain infectious and parasitic diseases,A06,Amoebiasis
1,Certain infectious and parasitic diseases,A07,Other protozoal intestinal diseases
1,Certain infectious and parasitic diseases,A08,Viral and other specified intestinal infections
1,Certain infectious and parasitic diseases,A09,Other gastroenteritis and colitis of infectious and unspecified origin
1,Certain infectious and parasitic diseases,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed"
1,Certain infectious and parasitic diseases,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically"
1,Certain infectious and parasitic diseases,A17,Tuberculosis of nervous system
1,Certain infectious and parasitic diseases,A18,Tuberculosis of other organs
1,Certain infectious and parasitic diseases,A19,Miliary tuberculosis
1,Certain infectious and parasitic diseases,A20,Plague
1,Certain infectious and parasitic diseases,A21,Tularaemia
1,Certain infectious and parasitic diseases,A22,Anthrax
1,Certain infectious and parasitic diseases,A23,Brucellosis
1,Certain infectious and parasitic diseases,A24,Glanders and melioidosis
1,Certain infectious and parasitic diseases,A25,Rat-bite fevers
1,Certain infectious and parasitic diseases,A26,Erysipeloid
1,Certain infectious and parasitic diseases,A27,Leptospirosis
1,Certain infectious and parasitic diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
1,Certain infectious and parasitic diseases,A30,Leprosy [Hansen disease]
1,Certain infectious and parasitic diseases,A31,Infection due to other mycobacteria
1,Certain infectious and parasitic diseases,A32,Listeriosis
1,Certain infectious and parasitic diseases,A33,Tetanus neonatorum
1,Certain infectious and parasitic diseases,A34,Obstetrical tetanus
1,Certain infectious and parasitic diseases,A35,Other tetanus
1,Certain infectious and parasitic diseases,A36,Diphtheria
1,Certain infectious and parasitic diseases,A37,Whooping cough
1,Certain infectious and parasitic diseases,A38,Scarlet fever
1,Certain infectious and parasitic diseases,A39,Meningococcal infection
1,Certain infectious and parasitic diseases,A40,Streptococcal sepsis
1,Certain infectious and parasitic diseases,A41,Other sepsis
1,Certain infectious and parasitic diseases,A42,Actinomycosis
1,Certain infectious and parasitic diseases,A43,Nocardiosis
1,Certain infectious and parasitic diseases,A44,Bartonellosis
1,Certain infectious and parasitic diseases,A46,Erysipelas
1,Certain infectious and parasitic diseases,A48,"Other bacterial diseases, not elsewhere classified"
1,Certain infectious and parasitic diseases,A49,Bacterial infection of unspecified site
1,Certain infectious and parasitic diseases,A50,Congenital syphilis
1,Certain infectious and parasitic diseases,A51,Early syphilis
1,Certain infectious and parasitic diseases,A52,Late syphilis
1,Certain infectious and parasitic diseases,A53,Other and unspecified syphilis
1,Certain infectious and parasitic diseases,A54,Gonococcal infection
1,Certain infectious and parasitic diseases,A55,Chlamydial lymphogranuloma (venereum)
1,Certain infectious and parasitic diseases,A56,Other sexually transmitted chlamydial diseases
1,Certain infectious and parasitic diseases,A57,Chancroid
1,Certain infectious and parasitic diseases,A58,Granuloma inguinale
1,Certain infectious and parasitic diseases,A59,Trichomoniasis
1,Certain infectious and parasitic diseases,A60,Anogenital herpesviral [herpes simplex] infection
1,Certain infectious and parasitic diseases,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
1,Certain infectious and parasitic diseases,A64,Unspecified sexually transmitted disease
1,Certain infectious and parasitic diseases,A65,Nonvenereal syphilis
1,Certain infectious and parasitic diseases,A66,Yaws
1,Certain infectious and parasitic diseases,A67,Pinta [carate]
1,Certain infectious and parasitic diseases,A68,Relapsing fevers
1,Certain infectious and parasitic diseases,A69,Other spirochaetal infections
1,Certain infectious and parasitic diseases,A70,Chlamydia psittaci infection
1,Certain infectious and parasitic diseases,A71,Trachoma
1,Certain infectious and parasitic diseases,A74,Other diseases caused by chlamydiae
1,Certain infectious and parasitic diseases,A75,Typhus fever
1,Certain infectious and parasitic diseases,A77,Spotted fever [tick-borne rickettsioses]
1,Certain infectious and parasitic diseases,A78,Q fever
1,Certain infectious and parasitic diseases,A79,Other rickettsioses
1,Certain infectious and parasitic diseases,A80,Acute poliomyelitis
1,Certain infectious and parasitic diseases,A81,Atypical virus infections of central nervous system
1,Certain infectious and parasitic diseases,A82,Rabies
1,Certain infectious and parasitic diseases,A83,Mosquito-borne viral encephalitis
1,Certain infectious and parasitic diseases,A84,Tick-borne viral encephalitis
1,Certain infectious and parasitic diseases,A85,"Other viral encephalitis, not elsewhere classified"
1,Certain infectious and parasitic diseases,A86,Unspecified viral encephalitis
1,Certain infectious and parasitic diseases,A87,Viral meningitis
1,Certain infectious and parasitic diseases,A88,"Other viral infections of central nervous system, not elsewhere classified"
1,Certain infectious and parasitic diseases,A89,Unspecified viral infection of central nervous system
1,Certain infectious and parasitic diseases,A92,Other mosquito-borne viral fevers
1,Certain infectious and parasitic diseases,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
1,Certain infectious and parasitic diseases,A94,Unspecified arthropod-borne viral fever
1,Certain infectious and parasitic diseases,A95,Yellow fever
1,Certain infectious and parasitic diseases,A96,Arenaviral haemorrhagic fever
1,Certain infectious and parasitic diseases,A97,Dengue
1,Certain infectious and parasitic diseases,A98,"Other viral haemorrhagic fevers, not elsewhere classified"
1,Certain infectious and parasitic diseases,A99,Unspecified viral haemorrhagic fever
1,Certain infectious and parasitic diseases,B00,Herpesviral [herpes simplex] infections
1,Certain infectious and parasitic diseases,B01,Varicella [chickenpox]
1,Certain infectious and parasitic diseases,B02,Zoster [herpes zoster]
1,Certain infectious and parasitic diseases,B03,Smallpox
1,Certain infectious and parasitic diseases,B04,Monkeypox
1,Certain infectious and parasitic diseases,B05,Measles
1,Certain infectious and parasitic diseases,B06,Rubella [German measles]
1,Certain infectious and parasitic diseases,B07,Viral warts
1,Certain infectious and parasitic diseases,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
1,Certain infectious and parasitic diseases,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
1,Certain infectious and parasitic diseases,B15,Acute hepatitis A
1,Certain infectious and parasitic diseases,B16,Acute hepatitis B
1,Certain infectious and parasitic diseases,B17,Other acute viral hepatitis
1,Certain infectious and parasitic diseases,B18,Chronic viral hepatitis
1,Certain infectious and parasitic diseases,B19,Unspecified viral hepatitis
1,Certain infectious and parasitic diseases,B20,Human immunodeficiency virus [HIV] disease resulting in infectious and parasitic diseases
1,Certain infectious and parasitic diseases,B21,Human immunodeficiency virus [HIV] disease resulting in malignant neoplasms
1,Certain infectious and parasitic diseases,B22,Human immunodeficiency virus [HIV] disease resulting in other specified diseases
