"EXTRACT_DATE","ODS_Code","Sex","Age_group","Patients","Proportion","PCN_Code","PCN_Name"
"1st -Ju l-22","G81001","Female","0-4 years",192,0.0209927837305926,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","10-14 years",303,0.0331292368248415,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","15-19 years",277,0.0302864640279904,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","20-24 years",241,0.0263503170785043,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","25-29 years",233,0.0254756177563962,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","30-34 years",289,0.0315985130111524,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","35-39 years",294,0.0321452000874699,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","40-44 years",319,0.0348786354690575,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","45-49 years",312,0.034113273562213,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","5-9 years",244,0.0266783293242948,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","50-54 years",339,0.0370653837743276,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","55-59 years",312,0.034113273562213,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","60-64 years",250,0.0273343538158758,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","65-69 years",231,0.0252569429258692,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","70-74 years",220,0.0240542313579707,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","75-79 years",182,0.0198994095779576,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","80-84 years",152,0.0166192871200525,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","85-89 years",120,0.0131204898316204,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","90-94 years",71,0.00776295648370873,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Female","95+ years",14,0.00153072381368904,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Male","0-4 years",237,0.0259129674174503,"U14062","West Hove PCN"
"1st -Ju l-22","G81001","Male","10-14 years",296,0.0323638749179969,"U14062","West Hove PCN"
