"PCN_Code","PCN_Name","Sex","Age_group","EXTRACT_DATE","Patients","Proportion"
"U01092","Cissbury Integrated Care PCN","Female","0-4 years","1st Apr 2022",1061,0.0217909221606079
"U01092","Cissbury Integrated Care PCN","Female","5-9 years","1st Apr 2022",1220,0.0250564797699733
"U01092","Cissbury Integrated Care PCN","Female","10-14 years","1st Apr 2022",1247,0.0256110084206203
"U01092","Cissbury Integrated Care PCN","Female","15-19 years","1st Apr 2022",1076,0.0220989936331896
"U01092","Cissbury Integrated Care PCN","Female","20-24 years","1st Apr 2022",1135,0.023310741425344
"U01092","Cissbury Integrated Care PCN","Female","25-29 years","1st Apr 2022",1506,0.0309303758471965
"U01092","Cissbury Integrated Care PCN","Female","30-34 years","1st Apr 2022",1788,0.0367221195317314
"U01092","Cissbury Integrated Care PCN","Female","35-39 years","1st Apr 2022",1634,0.0335592524132265
"U01092","Cissbury Integrated Care PCN","Female","40-44 years","1st Apr 2022",1537,0.0315670568905319
"U01092","Cissbury Integrated Care PCN","Female","45-49 years","1st Apr 2022",1522,0.0312589854179503
"U01092","Cissbury Integrated Care PCN","Female","50-54 years","1st Apr 2022",1700,0.0349147668925857
"U01092","Cissbury Integrated Care PCN","Female","55-59 years","1st Apr 2022",1697,0.0348531525980694
"U01092","Cissbury Integrated Care PCN","Female","60-64 years","1st Apr 2022",1468,0.0301499281166564
"U01092","Cissbury Integrated Care PCN","Female","65-69 years","1st Apr 2022",1240,0.0254672417334155
"U01092","Cissbury Integrated Care PCN","Female","70-74 years","1st Apr 2022",1355,0.0278291230232081
"U01092","Cissbury Integrated Care PCN","Female","75-79 years","1st Apr 2022",1206,0.0247689463955638
"U01092","Cissbury Integrated Care PCN","Female","80-84 years","1st Apr 2022",887,0.0182172930786609
"U01092","Cissbury Integrated Care PCN","Female","85-89 years","1st Apr 2022",722,0.0148285068802629
"U01092","Cissbury Integrated Care PCN","Female","90-94 years","1st Apr 2022",423,0.00868761552680222
"U01092","Cissbury Integrated Care PCN","Female","95+ years","1st Apr 2022",166,0.00340932429657014
"U01092","Cissbury Integrated Care PCN","Male","0-4 years","1st Apr 2022",1112,0.0228383651673855
"U01092","Cissbury Integrated Care PCN","Male","5-9 years","1st Apr 2022",1207,0.0247894844937359
"U01092","Cissbury Integrated Care PCN","Male","10-14 years","1st Apr 2022",1331,0.0273362086670774
"U01092","Cissbury Integrated Care PCN","Male","15-19 years","1st Apr 2022",1227,0.0252002464571781
"U01092","Cissbury Integrated Care PCN","Male","20-24 years","1st Apr 2022",1193,0.0245019511193264
"U01092","Cissbury Integrated Care PCN","Male","25-29 years","1st Apr 2022",1524,0.0313000616142945
"U01092","Cissbury Integrated Care PCN","Male","30-34 years","1st Apr 2022",1818,0.0373382624768946
"U01092","Cissbury Integrated Care PCN","Male","35-39 years","1st Apr 2022",1751,0.0359622098993633
"U01092","Cissbury Integrated Care PCN","Male","40-44 years","1st Apr 2022",1736,0.0356541384267817
"U01092","Cissbury Integrated Care PCN","Male","45-49 years","1st Apr 2022",1636,0.0336003286095708
"U01092","Cissbury Integrated Care PCN","Male","50-54 years","1st Apr 2022",1795,0.0368658862189361
"U01092","Cissbury Integrated Care PCN","Male","55-59 years","1st Apr 2022",1771,0.0363729718628055
"U01092","Cissbury Integrated Care PCN","Male","60-64 years","1st Apr 2022",1446,0.02969808995687
"U01092","Cissbury Integrated Care PCN","Male","65-69 years","1st Apr 2022",1164,0.0239063462723352
"U01092","Cissbury Integrated Care PCN","Male","70-74 years","1st Apr 2022",1132,0.0232491271308277
"U01092","Cissbury Integrated Care PCN","Male","75-79 years","1st Apr 2022",1004,0.0206202505647977
"U01092","Cissbury Integrated Care PCN","Male","80-84 years","1st Apr 2022",588,0.0120764017252002
"U01092","Cissbury Integrated Care PCN","Male","85-89 years","1st Apr 2022",414,0.00850277264325323
