"Field","Name","Format","Description","Values","Cleaning","Derivations","Notes"
"ACTIVAGE","Age at Activity Date","Number","The patient's age, in completed years, on the activity date (the arrival date). This field is submitted by the provider.","nnn = Age at activity date 
999 = Not known, i.e. date of birth not known and age cannot be estimated",NA,NA,NA
"AEARRIVALMODE","Arrival Mode","String(1)","The mode by which a patient arrived at an A&E department.","1 = Brought in by ambulance (including helicopter / Air Ambulance) 
2 = Other 
9 = Not known","RULE_0084",NA,NA
"AEATTEND_EXC_PLANNED","Attendances Excluding Planned","Number","A ""yes/no"" flag, derived from AEATTENDCAT, enabling a count of unplanned attendances to be made.","0 = Planned AE Attendance
1 = Unplanned AE Attendance",NA,"RULE_8003",NA
"AEATTENDCAT","Attendance Category","String(1)","An indication of whether a patient is making an initial or follow-up attendance within a particular A&E department. The first attendance (1) is the first in a series, or the only attendance, in a particular A&E episode. A planned follow-up A&E attendance (2) is a subsequent planned attendance at the same department, and for the same incident as the first attendance. An unplanned follow-up A&E attendance (3) is a subsequent unplanned attendance at the same department, and for the same incident as the first attendance.","1 = First A&E attendance 
2 = Follow-up A&E attendance - planned 
3 = Follow-up A&E attendance - unplanned 
9 = Not known","RULE_0086",NA,NA
"AEATTENDDISP","Attendance Disposal","String(2)","The way in which an A&E attendance might end.","01 = Admitted to hospital bed / became a lodged patient of the same health care provider 
02 = Discharged – follow-up treatment to be provided by general practitioner 
03 = Discharged – did not require any follow-up treatment 
04 = Referred to A&E clinic 
05 = Referred to fracture clinic 
06 = Referred to other outpatient clinic
07 = Transferred to other healthcare provider 
10 = Died in department 
11 = Referred to other healthcare professional 
12 = Left department before being treated 
13 = Left department having refused treatment 
14 = Other 
99 = Not known","RULE_0088",NA,NA
"AEATTENDNO","Attendance Number","String(12)","A unique ID number assigned by the A&E department. This field is unavailable for use, and is null in all years.

This field is not made available in HES due to the risk of restricted or identifiable data being populated in the field","12an = Unique ID assigned by the A&E department.",NA,NA,NA
"AEDEPTTYPE","Department Type","String(2)","A classification of A&E department type according to the activity carried out.","01 = Emergency departments are a consultant led 24-hour service with full resuscitation facilities and designated accommodation for the reception of accident and emergency patients 
02 = Consultant-led mono specialty accident and emergency service (e.g. ophthalmology, dental) with designated accommodation for the reception of patients
03 = Other type of A&E/minor injury activity with designated accommodation for the reception of accident and emergency patients. The department may be doctor led or nurse led and treats at least minor injuries and illnesses and can be routinely accessed without appointment. A service mainly or entirely appointment based (for example a GP practice or outpatient clinic) is excluded even though it may treat a number of patients with minor illness or injury. Excludes NHS walk-in centres 
04 = NHS walk-in centres 
99 = Not known","RULE_0102",NA,NA
"AEINCLOCTYPE","Incident Location Type","String(2)","Classification of the place where the incident occurred that led to an A&E episode.","10 = Home 
40 = Work 
50 = Educational establishment 
60 = Public place 
91 = Other 
99 = Not known","RULE_0092",NA,NA
"AEKEY","HES Record Identifier","String(20)","The record identifier created by the HES system.","12n (2003-04 to 2020-21); 20n (2021-22 onwards) = Record identifier 
",NA,NA,NA
"AEKEY_FLAG","A&E Key Flag","Number","A flag to indicate whether there is an AEKEY present on the record. This can be used to sum the number of A&E attendances.","1 = AEKEY present
null = not applicable (not an A&E record)",NA,"RULE_8001",NA
