"PCN_Code","PCN_Name","Female","Male","Total"
"U01092","Cissbury Integrated Care PCN",24590,24100,48690
"U03364","Haywards Heath Villages PCN",20604,19588,40192
"U04725","Haywards Heath Central PCN",16754,16202,32956
"U04748","Angmering Coppice Fitzalan (ACF) PCN",14575,14302,28877
"U05632","Seaford PCN",14402,13272,27674
"U06871","Burgess Hill & Villages PCN",25881,24493,50374
"U07199","East & Central Brighton 1 PCN",19336,19995,39331
"U08235","Regis Healthcare PCN",51040,49937,100977
"U09072","Preston Park Community PCN",27556,27943,55499
"U13952","Central Worthing Practices PCN",21408,20241,41649
"U14062","West Hove PCN",28088,27615,55703
"U14816","Healthy Crawley PCN",24914,24854,49768
"U21317","The Havens PCN",17918,17555,35473
"U21339","Arun Integrated Care (AIC) PCN",33008,31081,64089
"U22426","Dean's and Central Brighton PCN",18661,18919,37580
"U24558","Chichester Alliance of Medical Practices PCN",46620,43405,90025
"U26939","Horsham Central PCN",28921,28227,57148
"U29677","East & Central Brighton PCN",35488,38697,74185
"U33451","South Crawley PCN",21571,22442,44013
"U33593","Rural North Chichester PCN",19627,18883,38510
"U36842","Greater Wealden PCN",30388,28933,59321
"U37037","Shoreham and Southwick PCN",18594,17815,36409
"U37341","Foundry Healthcare Lewes PCN",14500,13719,28219
"U42972","Victoria Eastbourne PCN",23149,22553,45702
"U46447","Goldstone PCN",35535,34480,70015
"U48056","Eastbourne East PCN",27707,26160,53867
"U49536","Coastal and South Downs PCN",16289,15409,31698
"U52694","Crawley Care Collaborative PCN",22676,23877,46553
"U52868","Alps Group PCN",29617,28222,57839
"U54308","East & Central Brighton 2 PCN",11476,14252,25728
"U54760","High Weald PCN",28370,27071,55441
"U55014","North & Central Brighton PCN",24719,27904,52623
"U57981","Chanctonbury PCN",25074,24227,49301
"U79764","Rural Rother PCN",21569,20979,42548
"U80779","East Grinstead PCN",23919,23411,47330
"U85348","Bexhill PCN",25690,23205,48895
"U87478","Lancing and Sompting PCN",14548,14261,28809
"U94996","Hailsham PCN",14944,14228,29172
"U96386","Horsham Collaborative PCN",16295,16153,32448
"U99438","Hastings & St Leonards PCN",50522,50292,100814
