"ODS_Code","Female","Male","Total"
"G81001",4595,4551,9146
"G81002",2859,3060,5919
"G81003",8719,8343,17062
"G81004",11246,10422,21668
"G81006",6082,7148,13230
"G81007",5003,4878,9881
"G81008",7348,6972,14320
"G81011",18502,19924,38426
"G81012",3333,3105,6438
"G81014",4175,3963,8138
"G81016",5213,5102,10315
"G81017",5704,5678,11382
"G81018",5861,5976,11837
"G81019",5622,5467,11089
"G81021",14569,13720,28289
"G81022",7552,6930,14482
"G81023",4283,4104,8387
"G81024",5085,4716,9801
"G81028",12272,12710,24982
"G81029",9333,8666,17999
"G81030",4557,4315,8872
"G81031",6103,5677,11780
"G81032",14156,14046,28202
"G81034",14868,14417,29285
"G81036",4571,4540,9111
"G81037",4472,4274,8746
"G81038",8944,9290,18234
"G81039",9300,8105,17405
"G81040",1981,1662,3643
"G81041",7573,6864,14437
"G81042",6955,6802,13757
"G81043",3765,3585,7350
"G81044",2950,3143,6093
"G81046",6010,5801,11811
"G81047",2932,4066,6998
"G81048",4358,4251,8609
"G81049",6938,6750,13688
"G81050",6134,5361,11495
"G81051",3616,3466,7082
"G81052",2100,2067,4167
"G81054",9324,10828,20152
"G81055",4793,4623,9416
"G81057",3200,3137,6337
"G81059",5873,5564,11437
"G81061",3092,3177,6269
"G81065",9336,8866,18202
"G81070",11535,11798,23333
"G81071",9430,11511,20941
"G81073",4349,3986,8335
"G81074",9108,9061,18169
"G81075",3475,3499,6974
"G81076",6378,6180,12558
"G81077",8869,8289,17158
"G81082",3074,2991,6065
"G81083",3786,3685,7471
"G81084",5376,5025,10401
"G81085",1999,1950,3949
"G81086",3937,3757,7694
"G81087",3425,3321,6746
"G81088",6319,6086,12405
"G81089",1745,1789,3534
"G81095",11989,12246,24235
"G81096",1450,1509,2959
"G81098",5828,5593,11421
"G81099",4999,4563,9562
"G81100",9678,9305,18983
"G81102",7909,7536,15445
"G81104",6237,5821,12058
"G81613",2554,2906,5460
"G81614",2711,2662,5373
"G81634",2907,2548,5455
"G81638",12656,11900,24556
"G81641",1584,1624,3208
"G81646",1224,1408,2632
"G81656",4596,5794,10390
"G81658",8835,8996,17831
"G81663",2645,2709,5354
"G81669",2390,2466,4856
"G81680",206,244,450
"G81689",560,2238,2798
"G81694",1466,1776,3242
"H82003",4982,4770,9752
"H82004",2403,2434,4837
"H82005",6108,5965,12073
"H82006",3077,2987,6064
"H82007",6919,6287,13206
"H82009",8279,7681,15960
"H82011",7886,7678,15564
"H82012",6303,6600,12903
"H82013",6904,6234,13138
"H82014",13514,12416,25930
"H82016",6670,6853,13523
"H82017",11897,11767,23664
"H82020",4295,4914,9209
"H82021",3371,3217,6588
"H82022",6211,5818,12029
"H82023",18623,17814,36437
"H82025",8086,7935,16021
"H82026",9639,9764,19403
"H82027",2080,2005,4085
"H82028",6927,6948,13875
"H82030",6739,6450,13189
"H82031",3231,3165,6396
"H82032",6679,6344,13023
"H82033",3729,3766,7495
"H82034",14109,13532,27641
"H82035",5898,5456,11354
"H82036",4585,4437,9022
"H82037",6472,6222,12694
"H82038",6977,6395,13372
"H82039",5755,5454,11209
"H82040",16031,15805,31836
"H82041",7012,6526,13538
"H82042",7039,6615,13654
"H82043",5875,5513,11388
"H82044",5674,5714,11388
"H82045",10481,10262,20743
"H82046",6205,6053,12258
"H82047",5653,5945,11598
"H82048",5874,5497,11371
"H82049",5446,5154,10600
"H82050",4859,5021,9880
"H82051",6257,5728,11985
"H82052",8348,8329,16677
"H82053",3628,3564,7192
"H82055",6856,6800,13656
"H82056",6878,6561,13439
"H82057",10661,10084,20745
"H82058",8326,8155,16481
"H82059",5839,5125,10964
"H82060",5227,5008,10235
"H82061",4270,4438,8708
"H82063",7875,7590,15465
"H82064",5166,5385,10551
"H82065",7274,6976,14250
"H82066",15690,16178,31868
"H82067",3538,3350,6888
"H82070",6877,6549,13426
"H82072",6978,6581,13559
"H82076",1962,1718,3680
"H82077",5869,5716,11585
"H82078",5638,5167,10805
"H82084",3405,3160,6565
"H82087",2183,1855,4038
"H82088",3146,3567,6713
"H82089",4273,4058,8331
"H82091",4305,4138,8443
"H82092",5040,4898,9938
"H82095",5576,5088,10664
"H82096",3002,3164,6166
"H82098",5177,5425,10602
"H82099",3933,3784,7717
"H82100",8772,8114,16886
"H82615",4342,4182,8524
"H82640",8263,8016,16279
"Y00080",3702,3620,7322
"Y00351",5743,6253,11996
"Y02676",4769,5146,9915
"Y06007",7980,7328,15308
